Column1,Column2
192.168.1.78                     ,(incomplete)                              
192.168.11.139              ,80:5e:c0:04:43:38   C                     
192.168.1.79                     ,(incomplete)                              
192.168.6.90                ,e6:29:44:82:62:5e   C                     
192.168.12.111              ,80:5e:c0:04:41:af   C                     
192.168.1.80                     ,(incomplete)                              
192.168.6.91                ,00:07:a6:2a:60:20   C                     
192.168.11.141                   ,(incomplete)                              
192.168.1.81                     ,(incomplete)                              
192.168.6.92                ,7a:5e:4a:59:c3:8b   C                     
192.168.11.142              ,34:7e:5c:c5:b7:d2   C                     
192.168.12.113              ,50:9a:4c:17:74:71   C                     
192.168.1.82                     ,(incomplete)                              
192.168.11.143              ,80:5e:c0:23:15:6d   C                     
192.168.12.114              ,80:5e:c0:04:3f:7b   C                     
192.168.6.94                     ,(incomplete)                              
192.168.1.83                     ,(incomplete)                              
192.168.12.115              ,80:5e:c0:04:40:25   C                     
192.168.11.144              ,34:7e:5c:c5:b7:32   C                     
192.168.6.95                ,b6:83:d2:e4:96:86   C                     
192.168.1.84                     ,(incomplete)                              
192.168.12.116              ,80:5e:c0:04:41:b4   C                     
192.168.1.85                     ,(incomplete)                              
192.168.6.96                     ,(incomplete)                              
192.168.17.230                   ,(incomplete)                              
192.168.1.86                     ,(incomplete)                              
192.168.6.97                ,00:07:a6:33:66:b8   C                     
192.168.12.118              ,80:5e:c0:04:3f:7f   C                     
192.168.1.87                     ,(incomplete)                              
192.168.13.37                    ,(incomplete)                              
192.168.24.181              ,50:9a:4c:17:74:b6   C                     
192.168.1.88                     ,(incomplete)                              
192.168.12.120              ,50:9a:4c:17:74:72   C                     
192.168.11.149              ,38:8c:50:93:11:82   C                     
192.168.1.89                     ,(incomplete)                              
192.168.6.100               ,00:07:a6:34:2f:ab   C                     
192.168.11.150              ,00:15:65:e2:6d:2a   C                     
192.168.12.121              ,80:5e:c0:04:40:36   C                     
192.168.6.101               ,4e:ee:be:68:7c:b1   C                     
192.168.1.90                     ,(incomplete)                              
192.168.12.122              ,80:5e:c0:04:43:25   C                     
192.168.1.91                     ,(incomplete)                              
192.168.6.102               ,60:1d:9d:22:db:28   C                     
192.168.11.152              ,00:15:65:e2:6e:a9   C                     
192.168.12.123              ,80:5e:c0:04:3f:7d   C                     
192.168.1.92                     ,(incomplete)                              
192.168.6.103               ,f2:c2:98:65:9f:ab   C                     
192.168.7.2                      ,(incomplete)                              
192.168.12.124              ,80:5e:c0:04:41:b7   C                     
192.168.6.104               ,12:83:a8:0e:9c:f0   C                     
192.168.1.93                     ,(incomplete)                              
192.168.11.154              ,00:15:65:e2:6d:f3   C                     
192.168.1.94                     ,(incomplete)                              
192.168.24.188              ,78:8a:20:86:3a:6d   C                     
192.168.12.126              ,80:5e:c0:04:40:3e   C                     
192.168.1.95                     ,(incomplete)                              
192.168.11.156              ,50:9a:4c:17:c0:86   C                     
192.168.12.127              ,80:5e:c0:04:43:2b   C                     
192.168.1.96                     ,(incomplete)                              
192.168.6.107               ,bc:d7:13:87:9b:95   C                     
192.168.24.190                   ,(incomplete)                              
192.168.12.128              ,80:5e:c0:04:40:32   C                     
192.168.11.157              ,50:9a:4c:16:ce:16   C                     
192.168.1.97                     ,(incomplete)                              
192.168.24.191              ,8c:ec:4b:71:3e:3f   C                     
192.168.12.129              ,8c:ec:4b:71:3a:5a   C                     
192.168.1.98                     ,(incomplete)                              
192.168.12.130                   ,(incomplete)                              
192.168.11.159              ,00:50:c2:45:4c:c0   C                     
192.168.1.99                     ,(incomplete)                              
192.168.6.110               ,56:04:48:f9:8e:66   C                     
192.168.11.160              ,50:9a:4c:17:c0:21   C                     
192.168.12.131              ,80:5e:c0:04:41:c3   C                     
192.168.1.100                    ,(incomplete)                              
192.168.13.50               ,8c:ec:4b:6e:ec:51   C                     
192.168.7.10                     ,(incomplete)                              
192.168.12.132              ,80:5e:c0:04:41:c4   C                     
192.168.11.161              ,80:5e:c0:04:44:02   C                     
192.168.1.101                    ,(incomplete)                              
192.168.13.51               ,80:5e:c0:04:48:cc   C                     
192.168.12.133              ,80:5e:c0:04:3f:8e   C                     
192.168.11.162              ,50:9a:4c:17:78:3c   C                     
192.168.1.102                    ,(incomplete)                              
192.168.13.52               ,80:5e:c0:04:49:82   C                     
192.168.11.163              ,80:5e:c0:04:44:00   C                     
192.168.12.134              ,80:5e:c0:04:40:46   C                     
192.168.1.103                    ,(incomplete)                              
192.168.6.114               ,5a:26:33:79:90:e0   C                     
192.168.13.53               ,a4:bb:6d:95:b6:17   C                     
192.168.12.135                   ,(incomplete)                              
192.168.24.197              ,8c:ec:4b:71:3e:45   C                     
192.168.11.164              ,8c:ec:4b:71:3a:7d   C                     
192.168.1.104                    ,(incomplete)                              
192.168.13.54               ,80:5e:c0:76:c0:34   C                     
192.168.11.165              ,50:9a:4c:17:bf:fb   C                     
192.168.1.105                    ,(incomplete)                              
192.168.6.116               ,88:66:5a:39:8e:18   C                     
192.168.13.55               ,80:5e:0c:1f:75:b2   C                     
192.168.11.166              ,50:9a:4c:16:5a:3a   C                     
192.168.1.106                    ,(incomplete)                              
192.168.24.200                   ,(incomplete)                              
192.168.11.167              ,70:1f:53:e5:79:6f   C                     
192.168.1.107                    ,(incomplete)                              
192.168.6.118               ,c6:b2:2b:f8:5c:c8   C                     
192.168.13.57               ,a4:bb:6d:95:ae:cc   C                     
192.168.11.168              ,50:9a:4c:17:c0:2d   C                     
192.168.24.201              ,92:eb:eb:97:5b:2e   C                     
192.168.1.108                    ,(incomplete)                              
192.168.6.119               ,92:d8:62:43:08:65   C                     
192.168.12.140                   ,(incomplete)                              
192.168.24.202              ,ea:2e:dc:82:f3:b8   C                     
192.168.11.169              ,78:28:ca:99:d5:1e   C                     
192.168.6.120               ,48:8d:36:f0:cf:03   C                     
192.168.1.109                    ,(incomplete)                              
192.168.13.59                    ,(incomplete)                              
192.168.7.19                     ,(incomplete)                              
192.168.12.141                   ,(incomplete)                              
192.168.24.203              ,02:36:d5:62:1a:75   C                     
192.168.1.110                    ,(incomplete)                              
192.168.6.121               ,52:37:9b:24:dd:28   C                     
192.168.13.60               ,cc:5a:53:96:0f:40   C                     
192.168.24.204              ,52:50:21:24:9f:e1   C                     
192.168.1.111                    ,(incomplete)                              
192.168.24.205              ,8c:ec:4b:6e:eb:78   C                     
192.168.1.112                    ,(incomplete)                              
192.168.13.62               ,ec:1d:8b:fb:3a:b6   C                     
192.168.11.173                   ,(incomplete)                              
192.168.12.144              ,80:5e:c0:04:3f:99   C                     
192.168.1.113                    ,(incomplete)                              
192.168.12.145                   ,(incomplete)                              
192.168.11.174              ,34:7e:5c:c5:b4:60   C                     
192.168.6.125                    ,(incomplete)                              
192.168.1.114                    ,(incomplete)                              
192.168.12.146                   ,(incomplete)                              
192.168.11.175              ,34:7e:5c:c5:b4:68   C                     
192.168.1.115                    ,(incomplete)                              
192.168.12.147              ,80:5e:c0:04:41:d3   C                     
192.168.11.176              ,8c:ec:4b:6e:eb:57   C                     
192.168.1.116                    ,(incomplete)                              
192.168.6.127                    ,(incomplete)                              
192.168.13.66               ,80:5e:c0:04:44:50   C                     
192.168.11.177              ,8c:ec:4b:6e:91:e6   C                     
192.168.6.128               ,6e:66:6c:36:82:12   C                     
192.168.1.117                    ,(incomplete)                              
192.168.13.67               ,80:5e:0c:1f:78:b1   C                     
192.168.12.149              ,80:5e:c0:04:41:c7   C                     
192.168.1.118                    ,(incomplete)                              
192.168.6.129                    ,(incomplete)                              
192.168.13.68               ,80:5e:0c:1f:75:be   C                     
192.168.1.119                    ,(incomplete)                              
